depth_mm,f_mhz,P_mpa,DC,eta,t_first_hr,n_sessions,spacing_hr,mean_gm2_day365,std_gm2_day365,reduction_pct
20.6188,0.6717,0.4469,0.00849,0.35359,38.074,3,17.277,36.8387,26.0166,71.8754
50.3104,0.5543,0.4308,0.00465,0.17421,27.123,5,58.376,56.9309,29.9402,56.5360
49.3867,0.8950,0.3862,0.01603,0.49495,52.387,4,33.285,50.0015,43.4653,61.8263
46.6351,0.5547,0.1863,0.00802,0.16729,95.057,1,69.701,40.5772,17.8524,69.0213
58.3544,1.0958,0.3542,0.01867,0.44523,85.047,1,75.693,39.1954,19.7918,70.0762
30.4090,0.4056,0.4668,0.01251,0.53332,76.877,2,15.250,39.9794,28.9513,69.4777
20.7834,0.6830,0.4079,0.01430,0.57985,22.167,1,63.643,45.0407,39.5169,65.6136
51.2562,1.0542,0.1708,0.01462,0.20248,46.186,1,72.066,32.9725,17.1588,74.8271
31.4295,0.4102,0.3126,0.00887,0.32377,91.883,5,23.851,36.5344,19.1970,72.1077
20.8076,0.7269,0.2996,0.02039,0.69249,3.903,2,79.493,31.8747,18.8330,75.6652
46.9006,0.5695,0.3498,0.02274,0.68969,86.588,2,18.738,38.4732,16.0392,70.6276
53.7240,0.5250,0.4142,0.01197,0.44177,39.251,2,55.830,45.7449,28.8074,65.0760
29.4552,0.8625,0.2528,0.01691,0.46299,57.365,5,26.357,30.8648,13.7711,76.4362
50.2288,0.8365,0.4244,0.01130,0.37361,2.609,1,71.920,27.3645,17.4217,79.1085
40.4623,0.4145,0.3025,0.01333,0.46133,95.689,3,27.145,43.6198,14.2010,66.6984
40.5715,0.6803,0.4488,0.01030,0.39035,66.623,4,67.587,48.7212,24.6654,62.8037
21.5568,0.6617,0.4099,0.00761,0.30880,23.968,5,48.454,53.9120,35.9712,58.8408
45.5178,0.9029,0.2091,0.01832,0.35535,62.819,4,84.706,39.8322,22.5963,69.5900
33.6802,0.5686,0.3639,0.01386,0.51880,79.974,3,81.942,37.6926,18.6090,71.2235
46.8611,0.7551,0.3571,0.01747,0.56106,10.517,4,70.499,36.2027,17.6688,72.3610
55.0437,0.9624,0.3766,0.00738,0.20652,15.620,2,26.652,27.8577,12.8978,78.7320
31.6781,0.4414,0.2864,0.01933,0.66032,46.848,2,13.620,35.0258,17.2805,73.2595
56.4268,0.8327,0.3572,0.01384,0.39835,77.348,5,43.994,32.4114,11.2982,75.2555
30.9830,0.7376,0.4304,0.02035,0.77327,64.235,3,65.255,45.4062,15.5260,65.3346
